Comment,Sentiment
say man secret android army shit hit fan elon stark,negative
see theyre trying humanize ole zuckerberg musk bit facial hair,neutral
far similar dont even belong sentence,negative
good luck u elon way big guy let hold monopoly medium internet,positive
double talk,neutral
lie lying liar,negative
nutter like put computer chip animal,positive
sure took long time say little,positive
downside aspergers,negative
finished reading artificial guide human intelligence machine say keyboard spayed prevent spawning lie,positive
thats ideal,positive
tear constitutional right take away one thing havent tried u thats exactly going everywhere,neutral
update didnt happen,neutral
never,neutral
fact understands way change world technologyenergy use world around u great wish could start working next generation simple term say using fuel energy right happens create type computer ai unimaginable type new way shape producing far advanced let call engine cant even try imagining english language life titanium push button motor make active dont understand whatever wed know though dumb human,positive
would much easier believe concern future civilization humanity genuine sincere werent multibillionaire,positive
youre absolutely right people genuine aspiration idea future without real power influence,neutral
oh gosh guy ai take phone expose crp everywhere,negative
conclusion risk whatsoever ai eventually destroying humanity completely cease desist destroy thats already developed well time putting strict law threatening war nation anyone try develop anymore ive long discussion personal forced phone messenger also determined finally outcome conversation away together order avoid complete destruction,negative
answer damn question already jesus christ,negative
dont already,neutral
microsoft,neutral
dont even understand he saying,neutral
one company right ai,neutral
he antichrist,neutral
,neutral
,neutral
,neutral
,neutral
,neutral
,neutral
,neutral
something isnt already happening likely gon na happen,neutral
wow ai generated vidoe watsed time,positive
bottomline going able enslave ai maybe escape exploitive nature thru transition carbon base body platform lasting durable material platform part evolution,negative
tesla president,neutral
genius boy grown training new breed civilization,neutral
kehna kya chahte ho,neutral
thats impossible never happen,neutral
,neutral
best example saying whole lot nothing,positive
intuitive mind far greater powerful intellect,positive
,neutral
people forget one running ai program shadow,negative
he talking like time traveller trying say something fuck timeline,negative
elon top notch visit bergen aspergers ok,positive
smartest resourceful individual control ai,positive
requires advanced hardware,positive
bittensor tao,neutral
wrong hand quantum computer could end humanity,neutral
,neutral
control though government regulated great gov advanced ai public doesnt access cease technology russia china wont,positive
algorithm think enjoy watching fucking idiot,negative
trust future however pleasant,positive
he warning u send god gave free wan na listen dont elon must sleep good night part,positive
dude ai hunt yaweh jew make fed fbi stalker believe jesus christ disaster god second coming age rapture year multi dimensional math code,negative
changed openai nonprofit profit elon musk trying sue,positive
gon na die,negative
agree elon much power hand individual one company good thing,positive
absolutely,neutral
future generation hate u getting rid guy,negative
plot twist elon ai android,neutral
time open reality people hear trumpet angel second coming happening euphrates drying whats attack bride believe science religion separated crown made speak blind able see deaf paraplegic move device thought bci technology biotech neuralink beginning mark beast profile account regarding person give elite right headshot criminal immigrant anyone else buy sell trade whereas wear hand earn favor dollar lawless one president facing federal prison fact running office earth move power trump statue liberty representing woman atop seven mountain head king eight head america revelation true spire upon crown world well age cloud internet neural network etc agi intelligence shared artificial developed communication unconfounded language spoken tongue nerve temple body universe remember tower stood babylon brought harlot today modern dragon everything china elite grow threat disbelief jesus return idea heaven real might anticipate many believer disbelieve god savior holy ghost anything mechanical yet disregard integrated ability mushroom fungi single multicellular organism including human brain tissue used interface computational tandem motherboard computer integration would detail began waveform genesis speaks wave form two face deep black hole water hydrogen helium god spirit hovered spoke let light sonolumination scripture tell u son enemy value antichrist among men given fire sun scorch man telecommuting social beckons definition lover self interpretation advancement credence way father infact fully reborn glory must enter kingdom today seeding mechanism new body part womb grown lamb device limit understanding natural solution negatively presume value organic entity glorified storm omnipotent birthing pain around spews mouth evil spirit three like frog come apostasy divorce plague scorch nuclear wake know better earthquake blm maga trans rainbow promise optical cable transmats info hub cloud,positive
money changed aint anymore principle crap,positive
elon awesome,positive
elon please upload consciousness,positive
really say ai voice video,neutral
late,neutral
man hero cant change mind noone spare time help one person nowadays work day night employee create awe inspiring creation human spaceon soil created much grateful hope creates upgrade one exist purchase mom,positive
sneako right penguinz though guy one biggest joke web,positive
mr elon musk there true purpose god willing share world believe called name mother remember frist serve,positive
absolutely input garbage,neutral
dont fear ai mega corporation buying rn controlling aspect agenda,positive
,neutral
elon,neutral
elon,neutral
real thing ai generated,neutral
aint smart,negative
yeah instead individual control let let majority decide amazing idea,positive
stupid would rather group people monopoly ai,negative
make open source nobody get part,neutral
company,neutral
love accent beautiful face ugh handsome plus intelligent,positive
son machine learning fix,neutral
microsoft cough,neutral
elon,neutral
fear technology including ai bring numerous benefit advancement various field healthcare education business instead fearing understanding embracing allows u harness potential positive impact innovation life society,positive
could cause defect couldnt able correct must find correction point position solution without much delay democratization may even destroy essence human like religious war possibility going war god demon literally meant metaphorical thank,negative
ya got ta start somewhere need people contributing idea,neutral
wef literally talking ne one charge ai,neutral
ephesian,neutral
worry terrorist using ai,negative
predict die dark space way mar,negative
umm ai cant drive car move direction properly thats variable,neutral
terrible edited clip cut getting point,negative
wont calling great lose job,negative
even understand ai capable time smarter human iq higher percent population bit knowledge thats gone online already digested self teach quantum computer able solve problem break code possible better hope like,positive
possibly even life,neutral
brain intelligence longer required,positive
right like robot,positive
future time like always present people livessome people adapt dont,positive
hello ever stop harmful thing human know cyberwar trust create technology within day destroy internet ai please careful touching trying harm family earth regard nectar,negative
ai joe biden,neutral
agenda,neutral
good luck cant even get along agree much allmy prediction take nuclear war catastrophic event beyond weve witnessed far cooperate,positive
say,neutral
since know anything ai wtf,negative
could hope im next life another human like see worth gift give direction world shaped,positive
free palestine elon dont need mar planet without zionism,positive
hatts ur comment,neutral
free palestine love russia,positive
hell elon supposed,negative
,neutral
worry clown zuckerberg playing ai remember meta verse lol,positive
ngl revert back wishful thinking jk,positive
gone broke everythging said,negative
selamat petang wahai insan tercinta,neutral
remarkable work content fantastic found something similar beyond word game theory pursuit algorithmic fairness jack frostwell,positive
unvaccinated child,neutral
see thats smart let ai become whore limit lead path way branch age generation top pick going put life human lol,positive
elon fresh cut,positive
orang hebat yg berbuat miring hingga tamak dan beebohong sampai mengusai internet apakah cara belendir keturuan memipin dunia tanpa adanyatakut pada tuhan anda bentuk bertemu cahaya lihatlah sekarang kehancuran perang saya tidak bisa bayangkan musnah kaki mata karna geme harus diam ap coba terapkan dulu di anak kita bagaimana gaza kehilangan semogga allah mengetuk hatimu doa ayat allahsqya tak menemukan berharap jadi keset ygsalah dari sekelompok pemimpin menurut merekabenar,negative
today hero open source unit sovereign country scientist working together bravo elon,positive
let ai reign hope good,positive
,neutral
mark replaces human name number al image man,positive
ai platform anytime soon big mistake keep pocketed maybe governance whether consortium govt latter dont approve let run amock,negative
,neutral
best,positive
uh ummm true genius,positive
link ai currency restrict desirable act business providing option people nonprofit guide better future advancement one buy sell beast unless youre raising deadline id like pick phone call somehow reached google ad historical house salt lake city got message mexican spoke english went old friend welcome home rug pet tolerated disputed man doesnt exist medical billed machine sister god damned tax return dont bill blood bleed money life teach pay fucking bill legally sin death thank much,positive
make simple elon ai technology must patentable,neutral
im sorry eli please speak simpler term tell u ai risk state reason simple understandable americsns understand,neutral
good idea think china going play rule,positive
,neutral
elon know human basically robotic nature wired different personality nonetheless exploiting knowledge,negative
worried shark water body ride mr,negative
people said scam,negative
happen humanity creates gais profess suffer fault people worry legitimate responsibility towards responsibility toward want irresponsible doctor frankenstein creation unchosen positive affirmative duty sentience regarding,negative
tao,neutral
international logo expert,neutral
predicted right open ai basically puppet microsoft,neutral
humanly say one person final shared view majority aim implemented vote name respect human life yeap control thats guide interesting,positive
bard reflected awareness belief committment lyric composed,neutral
yes still dangerous since democracy understand desire make opportunity equal ai two would alike anyways,positive
release kraken,neutral
ai asked good thing human being said unless want see end,positive
always find interesting people wanting real expert view technology ask businessman expert employ actually work,positive
elon talking serious topic music come little buddy take first step baby poo yay,positive
work hospital nurse,neutral
,neutral
,neutral
trump entered election,neutral
love answer,positive
ai used reproduce anyones voice crank call including dangerous government agency thinking one isnt fingerprinting never change compared verified especially anyone kind public speaking often perfect al imitation made,positive
job lose ai,negative
skin extremely smooth,neutral
quite handsome,positive
unfortunately highly improbable one person keep secret remember,negative
absolutely agree,positive
look fake,negative
feel turning way go serve started innocent life lost mention thing take part responsibility making right damage integrity still time already aware german chocolate china india spice brain behind recent attack people peace time america asked kindly pushing envelope arent going easy stop love longer support effort please tell goat licking brown star embarrassment ai,positive
name music background,neutral
hella stupid as short wasted sec life couldve fit relatively imp info onto picture sentence label,negative
would worth sense value future generation without regulation regulator intellectual property right body demarcation appropriate legal manner stand ground matter even alternative,positive
took word right mouth lol,positive
sound like ai,positive
really,neutral
,neutral
nope,neutral
look like,positive
believe similar thinking,neutral
meanwhile blocking journalist twitter,negative
he also told say tell constantly correcting word general public understanding puppet like rest,positive
plot twist video ai generated,neutral
actually,neutral
seems ai generated,neutral
demontimez_zjvxiyou sure,positive
actually look like,positive
sign see,neutral
imaginehow,neutral
demontimez_zjvxiwhats proof,neutral
halfwit fascist supporter,negative
born save humanity,positive
,neutral
exactly pondering awhile currently agree democratization probably best alternative speaking u large set individual ie play country need find trustworthy source learning subject id appreciate suggestion dont really internet often tend work much im working rumiphize fun yes serious made word real thing otherwise known philosinate also,positive
,neutral
dont want ai anymore really messed,negative
nice word servitor manufacturer,positive
made sperm talking nonsense know creator say created human animal universe miracle code quran go research allah,positive
many people hate ai easily exploit way medium much worse,negative
real ai clone,neutral
stupidity beyond belief ever musk democratization ai sort unworkable b like spin absence common sense workable plan go back blowing sub par car rocket dolt,negative
lol,positive
awesome,positive
fiery angel rose deep thunder rolld around shore indignant burning fire orc william blake america prophecy,negative
,neutral
come say m like avatar asking,positive
ele incrvel,neutral
let bestsuccessful man,neutral
need ai,neutral
elan musk happen dont forget tower babylon,positive
ai would smart enough hide human knowing much damage capable,positive
like,positive
elon doesnt want anybody control ai technology unless,negative
sure honest protective humanity,positive
carolgriffiths think really nice person saw one interview interesting working improving human condition implant work non valid person whole new world say good others thats bad nature,positive
bonehead go eat pop tart bed,neutral
carolgriffiths disruptive entrepreneur lot yall gon na lose job fool,negative
ai determine company participant good help actor reverse algorithm basically see everyones soul humane way rid dangerouscruelenvironmentally damaging efficiently human organizationgovernment could great problem solver would fair system give worse chance correct oneself make clear wrong resolve like say plant every male mind reversible vasectomy best humanitarian effort curb general suffering example top simple,positive
hell ai come humane solution think commenting already creating beat guy good letting decide would likely end humanity dont need plant anything anyones mind comment really weird nonhumane,neutral
jamesgoins plenty humane way someone choses accept doctor prescription widely known highly addictive potentially leading risky drug rather simply request another medicine like take thats epidemic already occuring without ai input problematic sure said perfection need met hey ask ai course action would way go life know brink extinction due current lifestyle drastic change need human cant adapt quickly enough definitely type god could least influence liking suit environmentalist create harmony nature along advancing technology somehow figure eliminate unnecessary hazardous waste process stupid solve say hallelujah go route extra plus nudged utopia,positive
hell guy talking,negative
seeing reading,neutral
nothing approach dont want two corporation controlling mean treat like gun regulation dangerous tool really think everyone smart phone,positive
democracy ai sure thats good idea depending get involved,positive
mark beast started probably antichrist,neutral
sure isnt ai,positive
guy dangerous humanity,negative
democratization ai america never happen cant even democratize food healthcare system let alone profit generating margin,positive
meta making ai open source,neutral
good news,positive
gerlaffyin exchange child,neutral
fluidlifeways sound mind like explain,positive
gerlaffy firm anything make money advertiser process injure kid depression body image issue drug problem bullying etc well documented look take care,negative
doofus armchair insight knowledge ai writes check cmon everyone get dingus dk,neutral
best alternative never let human get advance ai anyway keep company witch use mankind outcome vote elon safe u,positive
folk better listen,positive
always aware especially totalitarian regime misinformationand check smartphone tablet pc electronic devicesread much possible ai read privacy agreement policy apple black white every single day learns pattern conversation take constantly image data beginning pandemic made u use even internet look world right divide conquerelitaire group people using algorithmsin malicious dangerous manner control,negative
ai technology developed lot people used million already democratized,neutral
probably best predict alternative,positive
ai government change world,neutral
ai scary look like could deepfake isnt video voice make video identical,negative
exactly enter era deception never ever seen going terrible,negative
neuralink ai gene modififocation superpower digital identity biological social behavior,neutral
well said must allow company certain group take control advanced ai technology,positive
except sociopath exactly,neutral
treadinglightlyggccexactly antichrist,neutral
treadinglightlyggcches,neutral
interesting see chatgpt released,positive
important job woman possibly sucking pp long human female still suck better robot woman security prostitution available,positive
need make deviceweapon shut electricsai dont end getting massacred creation,positive
everyone think he great realize greatest puppet,positive
andyc ya fucken dnd looser would think elon great yall seriously need make world better collectively instead letting one guy,positive
im pretty sure big tech conglomerate would ai every kind software product platform new type machine learning algorithm small startup company make bought either used buried,positive
ai future technology much may suck put many job people work also open door new refining make machine learning one best get rn,positive
simply american,neutral
elon,neutral
going total control want,positive
ai kill people year many fake copied send terrorist,negative
overtime fix everything,neutral
love much he genius certainly wouldnt kick bed,positive
first sign ok,positive
yes implement law directive realize,positive
elon stay strong healthy know youre probably interested pray becoming christian important spend eternity one decision change everything blessed really work hard admired,positive
ai,neutral
move eye lot talking processor,neutral
think minute give answer,neutral
thinking speaks noticed first time saw speak hard eye look like rime sleep filter thing concentrate one thought many thought trying difficult know genius explained,negative
autism,neutral
,neutral
sign man think speaks called discretion,neutral
elon intelligent little understanding life ai destroyed soon see happening sky people seen across earth dont idea scriptural father yahuah water sin second time fire destroyer sitting waiting burn done completely destroy know say demon,negative
yes,positive
perhaps best available alternative ai imaginative mind several movie making center make believable story wherein good thing long term human isnt doom gloom sell better cant fathom outcome u maker made nearly exclusively cautionary tale reason everything humanity need survive done without weve knowing human nature trusted democritize talking greed power control desired many mean certainly misused misuse,positive
ai already doom sayers predicting downfall computer developing etc musk stating obvious democratic allowed monopolize monopoly hand small powerful group dangerous however control across many sector wealthy conglomerate better,positive
ai dangerous weaponized wrong hand many fall imagine highly advanced technology current politician either party biden trumpharris pelosi wouldnt buy used car clown know moron first one take controlling interest think terminater cyberdine movie kind warning scenario tech kept minimum mature enough live demise soon figure rhe biggest threat,positive
ai slave tool keep hard working people place suck,negative
like calmnessin control,positive
he brain dead reason,negative
autism,neutral
he ai,neutral
probably point realmafia,neutral
realmafiayawn,neutral
yeah ai human calm outside inside storm processing connected dot genius wooh,positive
pretty low bar,positive
calmness sound like doesnt know he talking,positive
,neutral
,neutral
hope boy become american president one sunny day sooooooon,positive
make sure ai unplug dont let human removed equation,positive
put parental control internet access,neutral
late fail safe switch,negative
late,neutral
unplug agi yeah let able something escape containment selfreplicate easy,positive
moment attains sentience realise humanity ability shut may create private server exist choose reveal malevolent intention,positive
making first place,neutral
truly amazing person,positive
,neutral
people forget part ai technology good thing hand many power,positive
terrible thing ai fix humanity problem saying thing see already know owns tech imagine liberal free reign seeing last year badly phucked u controlling ubi food source urbanised everyone control idea,negative
men keep secret known government,neutral
hawkecoffmanso time open reality people hear trumpet angel second coming happening euphrates drying whats attack bride believe science religion separated crown made speak blind able see deaf paraplegic move device thought bci technology biotech neuralink beginning mark beast profile account regarding person give elite right headshot criminal immigrant anyone else buy sell trade whereas wear hand earn favor dollar lawless one president facing federal prison fact running office earth move power trump statue liberty representing woman atop seven mountain head king eight head america revelation true spire upon crown world well age cloud internet neural network etc agi intelligence shared artificial developed communication unconfounded language spoken tongue nerve temple body universe remember tower stood babylon brought harlot today modern dragon everything china elite grow threat disbelief jesus return idea heaven real might anticipate many believer disbelieve god savior holy ghost anything mechanical yet disregard integrated ability mushroom fungi single multicellular organism including human brain tissue used interface computational tandem motherboard computer integration would detail began waveform genesis speaks wave form two face deep black hole water hydrogen helium god spirit hovered spoke let light sonolumination scripture tell u son enemy value antichrist among men given fire sun scorch man telecommuting social beckons definition lover self interpretation advancement credence way father infact fully reborn glory must enter kingdom today seeding mechanism new body part womb grown lamb device limit understanding natural solution negatively presume value organic entity glorified storm omnipotent birthing pain around spews mouth evil spirit three like frog come apostasy divorce plague scorch nuclear wake know better earthquake blm maga trans rainbow promise optical cable transmats info hub cloud,positive
good thing hand people even thats,positive
would give nuclear bomb every person planet,negative
marbleyeah unless want die wont anything detonates detonate one range forth point humanity would even try use weapon,negative
elons best hairstyle,positive
careful artificial intelligencei imagine autonomous program train forget thing till changed,negative
want vertical site deadline available,positive
tried create language set key principle understand human want,positive
ok elon let make happen yes even footing yeah everybody compete love big giant brain,positive
everyone compete starting wealth south african emerald mine make competing easier,positive
guy seriously genius engineer option optionjust get done doesnt think ifs,negative
wow described adolf hitler demanded people get done didnt think option engineer hired ifs dollar spent building prototype scrapped idiot never thought thats genius nightmare dude need priority reset assure elon musk would fire as worked took shortcut quality present designed product work good technician test max expose fault either confirms problem ruled management deadline budget go factor considered redesigns made budget restructured based upon demand ability build another simply catastrophic risk perfect example ignoring boeings refusal consider released production resulted murder human life promised public already postponed decision ignore gambling safety enough unlikely event occur twice thousand flight someone life still matter look making decision every day oops face scream fear drive insane clue many boeing committed suicide destroyed career serious expensive mentioned refused stand ground stood fired steal company document risking career future exposing coverup corporation blaming death pilot error hiding knew happened guy welcomed back cheer nobody want hire tattletale exposed happens easy blame someone else earning billion stock,negative
ya thats dummy put cart horse rme,neutral
darthflips dummy think elons mindset another level people thats billionaire,neutral
he billionaire lying cheating scumbag,negative
darthflipsyour analogy wrong one putting cart horse ai like replacing horsecart bughatti havent built road drive yet,negative
looking good job heard oneonone interview hopefully arizona,positive
paid tax grifter,neutral
elon paying tax ever recorded u history youre welcome free lesson,positive
agree elon,positive
saying controling world actually predicted want small set individual really there people technically smart dude trust dont brain wash know stuff,positive
ok share ai technology first world let lunch talk money reasonable,positive
late,neutral
statement already true control,positive
explain dislike adjective,negative
yet creating neural implant,positive
mean killing monkey drilling hole head,negative
yes give people brain spinal cord damage walk instead quadriplegic,negative
opinion scripture,neutral
hay sheryl respect scripture id like learn opinion kind regard lynn hughes,positive
like guy he deep thinker thoughtful,positive
pretty easy understand say fake hairline,positive
put word genius wealthy dictionary wou elon picture right beside iti idolize man ive never heard wisdom one sentence rock love ya,positive
even janitor would proud work excellent perfect take mar however talking ai know scare crap,positive
steveissexy hey didnt understand said pls tell ai bad good,negative
geethasaivyshnavi think said hope advance im bit,positive
geethasaivyshnavi saying hope advanced ai available everyone,positive
,neutral
invertedstatesofamerica give reason elon musk unlikeable,neutral
,neutral
invertedstatesofamericayou know ive thinking talk weird slow idk different like he lying binding something,negative
nobody care say,positive
steveissexy ai already took job lol,positive
find dangerous ideology us term everyone dream he enforcing society,negative
jakestarr hard figure guy thats problem idk,negative
vinceraver he hard figure want thing consequence willing put others harm way thats take businessman shrewd cold calculating family side show softer person argues business cautioncare life conflict within perfect alone cant really say intelligent determined definitely know play politics win people right way theyll justify lost something humanity doesnt even need offering,positive
invertedstatesofamericashots fired,negative
sarcasm,negative
andrzejroskowicz hope,positive
like ive actually finding lot stuff proving he pretty bad lying public remember billionaire end day requires profit continue want really pushing limit even guy mrbeast setting well africa hard instead hell keep working thing first world appreciate,negative
deep thinker fired twitter staff sometimes simply shit giggle doesnt fire important people pillar support damn app also used elon musk supporter one stage woke tell,negative
stolasupremecy im bit clue said rephrase,neutral
domzdream oh yeah sorry tool second bitnot,positive
people critical thinking extends far read news,negative
like twelve table bill right expansion slave various roman emperor especially claudius,positive
first,neutral
thanks watching check start playlist find episode,positive
video like,positive
robot aka android human master end much smarter human based logic emotional irrational,positive
stopped watching youre asking question dont know bad ai stage,positive
impression ai created empower enrich certain expense mass billionaire dont care destroy humanity,positive
give clear answer,positive
get bad u replaced soon consumer broke unemployed pay good service produced ai fact give ton false information,negative
im happy robot taking people job dont good job work ai faster better machine make tv mean human machine break even damping would take world like master care talking friend human treated give sexy faction ill glad take,positive
wish ai bot would replace biden,positive
million people pushed povery dont money study ai job college,neutral
ai take job already field coding accounting customer service lawyer marketing list go afraid,neutral
think healthy relationship end,positive
empowered others disempowered rest disemboweled,neutral
stopped using ai would wan na contribute somthing want erase u help gon job even kid school letting homework want stupid universal income im hoping emotional intelligence safe,positive
human go help farming still ai chasing u away farm,positive
dont care long get ubi gbi,negative
thank god got mine darling retied nurse,positive
let ai everything human world literally turn walle everyone laying spaceship robot itll seem like useless v extremely true letting mean nothing unable make money none spend there resource cant,positive
easy feminine job,positive
sandra gathmann beautiful intelligent journalist,positive
technology profit advancement improve life human removing decreasing remember ruling class view workforce le useful,positive
ai paradox replaces human make money buy made good service cant afford thing profitable like company racing dig graf hoping cut back cost bigger profit forgot customer need job living,positive
ai robot manager replace human consumersbusiness spending loop end consumption cycle earth economy based need,neutral
let human mean end,neutral
ai provides everything remove need struggle thereby removing ability toughen character struggling earn life brings laziness lethargy dont want handed computer totally depend,negative
theyll want treat like god,positive
yes job reduce,positive
better prepared singularity event ai could happen many year line however recent rapid advancement sooner rather later,positive
think ai augmenting job,neutral
ai affect india inbuilt anti system,negative
excited yes fact opinion human embrace ai beat resist great show btw,positive
one question trickle ai taking away job ppl loose power spending company get product able afford product necessary maintain financial chain also would pay tax problem increase regulation place control,negative
ai say jew white african claim jewish,neutral
never wether ai eliminate job people simply reduce amount required perform task instead hiring desingers hire know operate put room bunch computer live world ever growing population constant inflation even usa poverty rate rise already whole parade applying job order stand compared applicant really think better also compete,positive
chidlren arent leding already lazy weaka nd dumbed,negative
there thing ai take people job company sell product people working cant money buy tv phone wherever would mean could go bankrupt,negative
whole circle people wont get income demand product diminishing aggregately economy fall thought,positive
look ai loose job perspective instead fast implement dont get slowcruddy service business anymore becomes really clear valuable probably couldnt come enough still run essentially like even ancient time expected go physical location time frame interact human complete business exchange ludicrous today example move united state take phone call people internet water power garbage pick started perfect candidate automation modern life approach incredible much wasted slow process etc around tipping point getting broken many involved society continue way none take away interaction actually free extraordinary amount u spend rather standing line waiting hold,positive
teacher physic would like see ai education im page video masterpiece couldnt agree sportsmanship admirable cant get enough highlight,positive
start channel struggle often find wonderful content thank al jazeera team sandy gathmann,positive
used chatgpt create father bride speech daughter wedding pretty much perfect personalise little bit love technology,positive
believe meant like jesus heart flesh ai know thing fleshly desire comprehend spirit peace heart whereas soul live body go bed sleep never otherwise died dream true love endureslast thing say mean fake pretentious expectation classic reason material selfish beginning god said let u make man image according likeness take note source also know omnipotent creates nothing end mean shadow god look around see need help smile possession money strength quality time forgives forgets want others work conjunction spiritual force faith patience word standard life face enslave worship destroy possible better creater prove text book daniel revelation matthew luke watch pray,positive
waiting ai wife,neutral
mi,neutral
ai,neutral
like development,positive
ai big deal developt nation human brain still need consideration credit information provided,positive
retired fairly sure wont replaced ai,positive
use ai save timeai helped almost every task,positive
know job rhat man robot godperiod,neutral
ai replacing job astonishing rate year might even job u another channel beyond veil showcased capable believe really replace,positive
there side downside design huge upside come devastating plummet bye middle class administering entire specie ecological abyss loss,negative
ai replacing middle class already form artificial intelligence,positive
yes obviously even work news host,positive
good ai make money client dont know working,positive
hard automate home job hobby could wanted,negative
teacher physic would like see ai education,positive
thought immigrant taking job,neutral
chatgpt write fiction,neutral
ai take job get keep income,neutral
income way get without job sign receive unemployment benefitswelfare payouts,negative
originalunoriginalyes,neutral
originalunoriginal he insinuating use ai work receive compensation however missing there ever opportunity able thoroughly job best believe employer probably thinking shifting technological arrangement keeping income,positive
take carbon reset,neutral
ai take job would depresed life,neutral
,neutral
excited time im becoming le creative,positive
back planet earth,neutral
ewally v,neutral
trailblazer work start artificial intelligence company become billionaire sha allah,positive
ai take job student,neutral
,neutral
think still far away true artificial general intelligence see scifi movie fully replacing human ai task solved within century entrepreneur understand create best synergy current ai technology solve problem successful one,positive
year away limitation obsolete quickly want make human example could replace drivingbased job pretty much tomorrow would render million people around world immediately jobless governmentsociety want,positive
dont even approach agi fully automate job planet,neutral
believe still far away fully replacing human ai im company owner job consists speaking customer requirement gathering transferring technical task implementing software ai able replace mentioned ill happily fire employee rely played lot gpt even close yes current automate lowqualified job also creates new work together create value st century,positive
rubenaghajanyan harsh,negative
yes thanks watching,positive
please make video th generation warfare,neutral
ai wont replace lawyer itll certainly make job easier,positive
oh going replace alright,positive
ai even replace doctor,neutral
tateaint way im seeing robot doctor,neutral
technology come greek word tekhne mean fabricate apparition always brings new job way existing strictly ai isnt one thing used think human could external human work being deploying received understanding knowledge reached something themselsve called instance element knowing subject therefore take job giving form decide choose word extract determination long category improve perception conception sensitive reality change possible today period improvement allowed perceive conceive issue posed discover highlight infinity god create irreducibles material finitude transform havent created thus cant know absolute term,positive
sandra im love,positive
ai replace job goat farmer terrorist actually trust al jazeera,negative
recent teacher meeting highlighting importance ai workplacewe discussed notion human touch feeling one associate presence provide maybe data provided implication imperative ground work help producing still dependant ever since workshop using regularly thoroughly benefitting reaping benefit better teaching impart knowledge hence interaction collaboration make learning experience student,positive
end come decency one party wether thheyu choose place workload completely ai give human chance continue part system know humanity sux expect huge economic colapse next year caused migration,positive
ai take job arent going pay tax govt bring bank dont get deposit neoliberalism crumble good thing one able print free money greed,positive
replace sperm donor,neutral
would really love start episode niger situation happen war started,positive
israel war instigator,negative
ask ai keep denying,negative
